Rank,Name,Country,Team Code,Age,ResultTime,Stage,Timegap1,Gap,Team
170,Geoffrey SOUPE,France,COF,27,+2:32:27,12,+2:32:27,+2:32:27,"COFIDIS, SOLUTIONS CREDITS"
171,Valerio CONTI,Italy,LAM,22,+2:32:49,12,+2:32:49,+2:32:49,LAMPRE - MERIDA
172,Zico WAEYTENS,Belgium,TGA,24,+2:38:31,12,+2:38:31,+2:38:31,TEAM GIANT - ALPECIN
173,Gediminas BAGDONAS,Lithuania,ALM,30,+2:39:04,12,+2:39:04,+2:39:04,AG2R LA MONDIALE
174,Boy VAN POPPEL,Netherlands,TFR,27,+2:39:58,12,+2:39:58,+2:39:58,TREK FACTORY RACING
1,Fabio ARU,Italy,AST,25,51:33:19,13,+2.14813657407407,+0,ASTANA PRO TEAM
2,Joaquin RODRIGUEZ OLIVER,Spain,KAT,36,27,13,+27,+27,TEAM KATUSHA
3,Tom DUMOULIN,Netherlands,TGA,25,30,13,+30,+30,TEAM GIANT - ALPECIN
4,Rafal MAJKA,Poland,TCS,26,+1:28,13,+1:28,+1:28,TINKOFF - SAXO
5,Jhoan Esteban CHAVES RUBIO,Colombia,OGE,25,+1:29,13,+1:29,+1:29,ORICA GREENEDGE
6,Alejandro VALVERDE BELMONTE,Spain,MOV,35,+1:52,13,+1:52,+1:52,MOVISTAR TEAM
7,Daniel MORENO FERNANDEZ,Spain,KAT,34,+1:54,13,+1:54,+1:54,TEAM KATUSHA
8,Mikel NIEVE ITURALDE,Spain,SKY,31,+1:58,13,+1:58,+1:58,TEAM SKY
9,Gianluca BRAMBILLA,Italy,EQS,28,+2:51,13,+2:51,+2:51,ETIXX - QUICK STEP
10,Romain SICARD,France,EUC,27,+2:51,13,+2:51,+2:51,TEAM EUROPCAR
11,Nairo Alexander QUINTANA ROJAS,Colombia,MOV,25,+3:07,13,+3:07,+3:07,MOVISTAR TEAM
12,Louis MEINTJES,South Africa,MTN,23,+4:15,13,+4:15,+4:15,MTN - QHUBEKA
13,Domenico POZZOVIVO,Italy,ALM,33,+5:19,13,+5:19,+5:19,AG2R LA MONDIALE
14,Fabrice JEANDESBOZ,France,EUC,31,+7:29,13,+7:29,+7:29,TEAM EUROPCAR
15,Kenny ELISSONDE,France,FDJ,24,+7:46,13,+7:46,+7:46,FDJ
16,Nicolas ROCHE,Ireland,SKY,31,+9:38,13,+9:38,+9:38,TEAM SKY
17,Bart DE CLERCQ,Belgium,LTS,29,+9:50,13,+9:50,+9:50,LOTTO SOUDAL
18,Andre Fernando S. Martins CARDOSO,Portugal,TCG,31,+10:19,13,+10:19,+10:19,TEAM CANNONDALE - GARMIN
19,Stéphane ROSSETTO,France,COF,28,+10:49,13,+10:49,+10:49,"COFIDIS, SOLUTIONS CREDITS"
20,Samuel SANCHEZ GONZALEZ,Spain,BMC,37,+11:07,13,+11:07,+11:07,BMC RACING TEAM
21,Daniel NAVARRO GARCIA,Spain,COF,32,+12:04,13,+12:04,+12:04,"COFIDIS, SOLUTIONS CREDITS"
22,David ARROYO DURAN,Spain,CJR,35,+12:08,13,+12:08,+12:08,CAJA RURAL-SEGUROS RGA
23,Maxime BOUET,France,EQS,29,+20:42,13,+20:42,+20:42,ETIXX - QUICK STEP
24,Sergio Luis HENAO MONTOYA,Colombia,SKY,28,+22:03,13,+22:03,+22:03,TEAM SKY
25,Frank SCHLECK,Luxembourg,TFR,35,+22:07,13,+22:07,+22:07,TREK FACTORY RACING
26,Diego ROSA,Italy,AST,26,+22:08,13,+22:08,+22:08,ASTANA PRO TEAM
27,George BENNETT,New Zealand,TLJ,25,+25:05,13,+25:05,+25:05,TEAM LOTTO NL - JUMBO
28,Maxime MONFORT,Belgium,LTS,32,+25:09,13,+25:09,+25:09,LOTTO SOUDAL
29,Giovanni VISCONTI,Italy,MOV,32,+26:10,13,+26:10,+26:10,MOVISTAR TEAM
30,Mikel LANDA MEANA,Spain,AST,26,+26:15,13,+26:15,+26:15,ASTANA PRO TEAM
31,Haimar ZUBELDIA AGIRRE,Spain,TFR,38,+27:28,13,+27:28,+27:28,TREK FACTORY RACING
32,Nelson Filipe SANTOS SIMOES OLIVEIRA,Portugal,LAM,26,+28:26,13,+28:26,+28:26,LAMPRE - MERIDA
33,Alberto LOSADA ALGUACIL,Spain,KAT,33,+28:28,13,+28:28,+28:28,TEAM KATUSHA
34,Luis Leon SANCHEZ GIL,Spain,AST,32,+29:37,13,+29:37,+29:37,ASTANA PRO TEAM
35,José GONÇALVES,Portugal,CJR,26,+33:21,13,+33:21,+33:21,CAJA RURAL-SEGUROS RGA
36,Jerome COPPEL,France,IAM,29,+33:42,13,+33:42,+33:42,IAM CYCLING
37,Rodolfo Andres TORRES AGUDELO,Colombia,COL,28,+38:03,13,+38:03,+38:03,COLOMBIA
38,Riccardo ZOIDL,Austria,TFR,27,+44:47,13,+44:47,+44:47,TREK FACTORY RACING
39,Lawson CRADDOCK,United States,TGA,23,+49:59,13,+49:59,+49:59,TEAM GIANT - ALPECIN
40,Darwin ATAPUMA HURTADO,Colombia,BMC,27,+50:18,13,+50:18,+50:18,BMC RACING TEAM
41,Andrey AMADOR BAKKAZAKOVA,Costa Rica,MOV,29,+51:28,13,+51:28,+51:28,MOVISTAR TEAM
42,Tosh VAN DER SANDE,Belgium,LTS,25,+51:44,13,+51:44,+51:44,LOTTO SOUDAL
43,Ricardo VILELA,Portugal,CJR,28,+52:53,13,+52:53,+52:53,CAJA RURAL-SEGUROS RGA
44,Sylvain CHAVANEL,France,IAM,36,+53:32,13,+53:32,+53:32,IAM CYCLING
45,Pawel POLJANSKI,Poland,TCS,25,+54:31,13,+54:31,+54:31,TINKOFF - SAXO
46,Jurgen VAN DEN BROECK,Belgium,LTS,32,+54:36,13,+54:36,+54:36,LOTTO SOUDAL
47,Carlos VERONA QUINTANILLA,Spain,EQS,23,+55:37,13,+55:37,+55:37,ETIXX - QUICK STEP
48,Tiago MACHADO,Portugal,KAT,30,+56:48,13,+56:48,+56:48,TEAM KATUSHA
49,Eduard VORGANOV,Russia,KAT,33,+58:17,13,+58:17,+58:17,TEAM KATUSHA
