Rank,Name,Country,Team Code,Age,ResultTime,Stage,Timegap1,Gap,Team
101,Maciej PATERSKI,Poland,CCC,29,45,1,+45,+45,CCC SPRANDI POLKOWICE
102,Grega BOLE,Slovenia,CCC,30,45,1,+45,+45,CCC SPRANDI POLKOWICE
103,Branislau SAMOILAU,Belarus,CCC,30,45,1,+45,+45,CCC SPRANDI POLKOWICE
104,Marek RUTKIEWICZ,Poland,CCC,34,45,1,+45,+45,CCC SPRANDI POLKOWICE
105,Lukasz OWSIAN,Poland,CCC,25,45,1,+45,+45,CCC SPRANDI POLKOWICE
106,Bartlomiej MATYSIAK,Poland,CCC,31,45,1,+45,+45,CCC SPRANDI POLKOWICE
107,Rinaldo NOCENTINI,Italy,ALM,38,48,1,+48,+48,AG2R LA MONDIALE
108,Matteo MONTAGUTI,Italy,ALM,31,48,1,+48,+48,AG2R LA MONDIALE
109,Hubert DUPONT,France,ALM,35,48,1,+48,+48,AG2R LA MONDIALE
110,Hugo HOULE,Canada,ALM,25,48,1,+48,+48,AG2R LA MONDIALE
111,Domenico POZZOVIVO,Italy,ALM,33,48,1,+48,+48,AG2R LA MONDIALE
112,Carlos Alberto BETANCUR GOMEZ,Colombia,ALM,26,48,1,+48,+48,AG2R LA MONDIALE
113,Patrick GRETSCH,Germany,ALM,28,48,1,+48,+48,AG2R LA MONDIALE
114,Luka MEZGEC,Slovenia,TGA,27,49,1,+49,+49,TEAM GIANT - ALPECIN
115,Caleb FAIRLY,United States,TGA,28,49,1,+49,+49,TEAM GIANT - ALPECIN
116,Simon GESCHKE,Germany,TGA,29,49,1,+49,+49,TEAM GIANT - ALPECIN
117,Chad HAGA,United States,TGA,27,49,1,+49,+49,TEAM GIANT - ALPECIN
118,Tobias LUDVIGSSON,Sweden,TGA,24,49,1,+49,+49,TEAM GIANT - ALPECIN
119,Nikias ARNDT,Germany,TGA,24,49,1,+49,+49,TEAM GIANT - ALPECIN
120,Louis VERVAEKE,Belgium,LTS,22,50,1,+50,+50,LOTTO SOUDAL
121,Mauro FINETTO,Italy,STH,30,52,1,+52,+52,SOUTHEAST
122,Francesco GAVAZZI,Italy,STH,31,52,1,+52,+52,SOUTHEAST
123,Jonathan MONSALVE,Venezuela,STH,26,52,1,+52,+52,SOUTHEAST
124,Elia FAVILLI,Italy,STH,26,52,1,+52,+52,SOUTHEAST
125,Matteo BUSATO,Italy,STH,28,52,1,+52,+52,SOUTHEAST
126,Manuel BELLETTI,Italy,STH,30,52,1,+52,+52,SOUTHEAST
127,Alessandro PETACCHI,Italy,STH,41,52,1,+52,+52,SOUTHEAST
128,Janier Alexis ACEVEDO COLLE,Colombia,TCG,30,53,1,+53,+53,TEAM CANNONDALE - GARMIN
129,Davide VILLELLA,Italy,TCG,24,53,1,+53,+53,TEAM CANNONDALE - GARMIN
130,Thomas DANIELSON,United States,TCG,37,53,1,+53,+53,TEAM CANNONDALE - GARMIN
131,Tom Jelte SLAGTER,Netherlands,TCG,26,53,1,+53,+53,TEAM CANNONDALE - GARMIN
132,Davide FORMOLO,Italy,TCG,23,53,1,+53,+53,TEAM CANNONDALE - GARMIN
133,Ryder HESJEDAL,Canada,TCG,35,53,1,+53,+53,TEAM CANNONDALE - GARMIN
134,Andre Fernando S. Martins CARDOSO,Portugal,TCG,31,53,1,+53,+53,TEAM CANNONDALE - GARMIN
135,Nikolay MIHAYLOV,Bulgaria,CCC,27,55,1,+55,+55,CCC SPRANDI POLKOWICE
136,Eugert ZHUPA,Albania,STH,25,56,1,+56,+56,SOUTHEAST
137,Damiano CUNEGO,Italy,NIP,34,57,1,+57,+57,NIPPO - VINI FANTINI
138,Giacomo BERLATO,Italy,NIP,23,57,1,+57,+57,NIPPO - VINI FANTINI
139,Alessandro MALAGUTI,Italy,NIP,28,57,1,+57,+57,NIPPO - VINI FANTINI
140,Pier Paolo DE NEGRI,Italy,NIP,29,57,1,+57,+57,NIPPO - VINI FANTINI
141,Alessandro BISOLTI,Italy,NIP,30,57,1,+57,+57,NIPPO - VINI FANTINI
142,Daniele COLLI,Italy,NIP,33,57,1,+57,+57,NIPPO - VINI FANTINI
143,Riccardo STACCHIOTTI,Italy,NIP,24,57,1,+57,+57,NIPPO - VINI FANTINI
144,Diego ULISSI,Italy,LAM,26,59,1,+59,+59,LAMPRE - MERIDA
145,Tsgabu Gebremaryam GRMAY,Ethiopia,LAM,24,59,1,+59,+59,LAMPRE - MERIDA
146,Manuele MORI,Italy,LAM,35,59,1,+59,+59,LAMPRE - MERIDA
147,Przemyslaw NIEMIEC,Poland,LAM,35,59,1,+59,+59,LAMPRE - MERIDA
148,Roberto FERRARI,Italy,LAM,32,59,1,+59,+59,LAMPRE - MERIDA
149,Jan POLANC,Slovenia,LAM,23,59,1,+59,+59,LAMPRE - MERIDA
150,Jaroslaw MARYCZ,Poland,CCC,28,+1:00,1,+1:00,+1:00,CCC SPRANDI POLKOWICE
151,Luke DURBRIDGE,Australia,OGE,24,+1:00,1,+1:00,+1:00,ORICA GREENEDGE
152,Franco PELLIZOTTI,Italy,AND,37,+1:03,1,+1:03,+1:03,ANDRONI GIOCATTOLI - SIDERMEC
153,Serghei TVETCOV,Romania,AND,27,+1:03,1,+1:03,+1:03,ANDRONI GIOCATTOLI - SIDERMEC
154,Oscar GATTO,Italy,AND,30,+1:03,1,+1:03,+1:03,ANDRONI GIOCATTOLI - SIDERMEC
155,Tiziano DALL'ANTONIA,Italy,AND,32,+1:03,1,+1:03,+1:03,ANDRONI GIOCATTOLI - SIDERMEC
156,Davide APPOLLONIO,Italy,AND,26,+1:03,1,+1:03,+1:03,ANDRONI GIOCATTOLI - SIDERMEC
157,Simone STORTONI,Italy,AND,30,+1:03,1,+1:03,+1:03,ANDRONI GIOCATTOLI - SIDERMEC
158,Gianfranco ZILIOLI,Italy,AND,25,+1:05,1,+1:05,+1:05,ANDRONI GIOCATTOLI - SIDERMEC
159,Eduard Michael GROSU,Romania,NIP,23,+1:09,1,+1:09,+1:09,NIPPO - VINI FANTINI
160,Alan MARANGONI,Italy,TCG,31,+1:10,1,+1:10,+1:10,TEAM CANNONDALE - GARMIN
161,Manabu ISHIBASHI,Japan,NIP,23,+1:12,1,+1:12,+1:12,NIPPO - VINI FANTINI
162,Greg HENDERSON,New Zealand,LTS,39,+1:15,1,+1:15,+1:15,LOTTO SOUDAL
163,Nicola BOEM,Italy,BAR,26,+1:21,1,+1:21,+1:21,BARDIANI CSF
164,Nathan BROWN,United States,TCG,24,+1:25,1,+1:25,+1:25,TEAM CANNONDALE - GARMIN
165,David DE LA CRUZ MELGAREJO,Spain,EQS,26,+1:27,1,+1:27,+1:27,ETIXX - QUICK STEP
166,Matteo TOSATTO,Italy,TCS,41,+1:27,1,+1:27,+1:27,TINKOFF - SAXO
167,Marco FRAPPORTI,Italy,AND,30,+1:41,1,+1:41,+1:41,ANDRONI GIOCATTOLI - SIDERMEC
168,Cédric PINEAU,France,FDJ,30,+1:48,1,+1:48,+1:48,FDJ
169,Jussi VEIKKANEN,Finland,FDJ,34,+1:48,1,+1:48,+1:48,FDJ
170,Arnaud COURTEILLE,France,FDJ,26,+1:48,1,+1:48,+1:48,FDJ
171,Jérôme PINEAU,France,IAM,35,+1:56,1,+1:56,+1:56,IAM CYCLING
172,Eugenio ALAFACI,Italy,TFR,25,+1:57,1,+1:57,+1:57,TREK FACTORY RACING
173,Pavel KOCHETKOV,Russia,KAT,29,+2:13,1,+2:13,+2:13,TEAM KATUSHA
174,Sergei CHERNETSKI,Russia,KAT,25,+2:13,1,+2:13,+2:13,TEAM KATUSHA
175,Brett LANCASTER,Australia,OGE,36,+2:15,1,+2:15,+2:15,ORICA GREENEDGE
176,Sam BEWLEY,New Zealand,OGE,28,+2:15,1,+2:15,+2:15,ORICA GREENEDGE
177,Sergio Miguel MOREIRA PAULINHO,Portugal,TCS,35,+2:24,1,+2:24,+2:24,TINKOFF - SAXO
178,Tom STAMSNIJDER,Netherlands,TGA,30,+2:27,1,+2:27,+2:27,TEAM GIANT - ALPECIN
179,Adam HANSEN,Australia,LTS,34,+2:30,1,+2:30,+2:30,LOTTO SOUDAL
180,Maximiliano Ariel RICHEZE,Argentina,LAM,32,+2:32,1,+2:32,+2:32,LAMPRE - MERIDA
181,Cheng JI,China,TGA,28,+2:33,1,+2:33,+2:33,TEAM GIANT - ALPECIN
182,Bert DE BACKER,Belgium,TGA,31,+2:33,1,+2:33,+2:33,TEAM GIANT - ALPECIN
183,Marco BANDIERA,Italy,AND,31,+2:43,1,+2:43,+2:43,ANDRONI GIOCATTOLI - SIDERMEC
184,Matteo PELUCCHI,Italy,IAM,26,+2:45,1,+2:45,+2:45,IAM CYCLING
185,Axel DOMONT,France,ALM,25,+2:46,1,+2:46,+2:46,AG2R LA MONDIALE
186,Julien BERARD,France,ALM,28,+2:46,1,+2:46,+2:46,AG2R LA MONDIALE
187,Maxim BELKOV,Russia,KAT,30,+3:02,1,+3:02,+3:02,TEAM KATUSHA
188,Calvin WATSON,Australia,TFR,22,+3:06,1,+3:06,+3:06,TREK FACTORY RACING
