Name,Country,Team,Stage,Rank,Total Time,Gap,gap(s)
VANMARCKE Sep,BEL,TEAM LOTTO NL - JUMBO,1,36,15' 45'',+ 00' 49'',49
ELMIGER Martin,SUI,IAM CYCLING,1,37,15' 46'',+ 00' 50'',50
VAN AVERMAET Greg,BEL,BMC RACING TEAM,1,38,15' 46'',+ 00' 50'',50
FROOME Christopher,GBR,TEAM SKY,1,39,15' 46'',+ 00' 50'',50
COPPEL Jérôme,FRA,IAM CYCLING,1,40,15' 47'',+ 00' 51'',51
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,1,41,15' 49'',+ 00' 53'',53
MARTENS Paul,GER,TEAM LOTTO NL - JUMBO,1,42,15' 51'',+ 00' 55'',55
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,1,43,15' 52'',+ 00' 56'',56
IMPEY Daryl,RSA,ORICA GREENEDGE,1,44,15' 53'',+ 00' 57'',57
GRIVKO Andriy,UKR,ASTANA PRO TEAM,1,45,15' 53'',+ 00' 57'',57
CONTADOR Alberto,ESP,TINKOFF-SAXO,1,46,15' 54'',+ 00' 58'',58
MATTHEWS Michael,AUS,ORICA GREENEDGE,1,47,15' 54'',+ 00' 58'',58
GALLOPIN Tony,FRA,LOTTO-SOUDAL,1,48,15' 54'',+ 00' 58'',58
IRIZAR ARRANBURU Markel,ESP,TREK FACTORY RACING,1,49,15' 54'',+ 00' 58'',58
PÉRAUD Jean-Christophe,FRA,AG2R LA MONDIALE,1,50,15' 55'',+ 00' 59'',59
PREIDLER Georg,AUT,TEAM GIANT-ALPECIN,1,51,15' 55'',+ 00' 59'',59
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,1,52,15' 55'',+ 00' 59'',59
MORABITO Steve,SUI,FDJ,1,53,15' 56'',+ 01' 00'',60
ALBASINI Michael,SUI,ORICA GREENEDGE,1,54,15' 56'',+ 01' 00'',60
GAUDIN Damien,FRA,AG2R LA MONDIALE,1,55,15' 56'',+ 01' 00'',60
ZUBELDIA AGIRRE Haimar,ESP,TREK FACTORY RACING,1,56,15' 57'',+ 01' 01'',61
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,1,57,15' 57'',+ 01' 01'',61
KANGERT Tanel,EST,ASTANA PRO TEAM,1,58,15' 58'',+ 01' 02'',62
SANCHEZ Samuel,ESP,BMC RACING TEAM,1,59,16' 00'',+ 01' 04'',64
QUINZIATO Manuel,ITA,BMC RACING TEAM,1,60,16' 00'',+ 01' 04'',64
